"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","createInvalidBookTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.CreateBookTest","Book API Test - Create Book","com.bookstore.api.tests.book.CreateBookTest","createInvalidBookTest"
"","19","getBookWithInvalidBookIdTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.GetBookTest","Book API Test - Get Book","com.bookstore.api.tests.book.GetBookTest","getBookWithInvalidBookIdTest"
"","25","updateBookExpiredTokenTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:18 IST 2025","passed","Sun Jul 27 20:25:18 IST 2025","com.bookstore.api.tests.book.UpdateBookTest","Book API Test - Update Book","com.bookstore.api.tests.book.UpdateBookTest","updateBookExpiredTokenTest"
"","19","getBookSchemaTest","FAST-API: BookStore API – Regression Test Suite (0)","Sun Jul 27 20:25:20 IST 2025","passed","Sun Jul 27 20:25:20 IST 2025","com.bookstore.api.tests.schema.BookSchemaTest","Schema Validation Test","com.bookstore.api.tests.schema.BookSchemaTest","getBookSchemaTest"
"","18","updateBookInvalidBookIDTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:18 IST 2025","passed","Sun Jul 27 20:25:18 IST 2025","com.bookstore.api.tests.book.UpdateBookTest","Book API Test - Update Book","com.bookstore.api.tests.book.UpdateBookTest","updateBookInvalidBookIDTest"
"Getting the Book... ","15","getBookWithPathParamTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.GetBookTest","Book API Test - Get Book","com.bookstore.api.tests.book.GetBookTest","getBookWithPathParamTest"
"Getting all the Book... ","42","getAllBooksTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.GetBookTest","Book API Test - Get Book","com.bookstore.api.tests.book.GetBookTest","getAllBooksTest"
"","26","updateBookNoAuthTokenTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:18 IST 2025","passed","Sun Jul 27 20:25:18 IST 2025","com.bookstore.api.tests.book.UpdateBookTest","Book API Test - Update Book","com.bookstore.api.tests.book.UpdateBookTest","updateBookNoAuthTokenTest"
"CreateBook the Book... ","46","createABookDataDrivenTest","Default suite","Sat Jul 26 07:00:51 IST 2025","broken","Sat Jul 26 07:00:51 IST 2025","com.bookstore.api.tests.book.CreateBookTest","Default test","com.bookstore.api.tests.book.CreateBookTest","createABookDataDrivenTest"
"Getting the Book from Test Data... ","18","getABookTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.GetBookTest","Book API Test - Get Book","com.bookstore.api.tests.book.GetBookTest","getABookTest"
